"Wikipedia name
 in English","Wikipedia name
in native language",Language,"Script (ISO
15924 code)","WP
code","Active
users",Launch date,Logo
West Frisian Wikipedia,Frysktalige Wikipedy,West Frisian,Latn,fy,69,"<span data-sort-value=""000000002002-09-02-0000"" style=""white-space:nowrap"">2 September 2002",
Yoruba Wikipedia,Wikipéédíà Yorùbá,Yoruba,Latn,yo,67,"<span data-sort-value=""000000002008-01-01-0000"" style=""white-space:nowrap"">2008 (unknown date)",
Wu Wikipedia,"Traditional Chinese: 吳語維基百科,
simplified Chinese: 吴语维基百科
(Romanized: Wu-nyu Vi-ci-pah-khu)",Wu Chinese,Hans/Hant,wuu,65,"<span data-sort-value=""000000002006-10-01-0000"" style=""white-space:nowrap"">1 October 2006",
Bashkir Wikipedia,"Башҡорт Википедияһы
(Başķort Vikipediya)",Bashkir,Cyrl,ba,64,"<span data-sort-value=""000000002005-04-16-0000"" style=""white-space:nowrap"">16 April 2005",
Somali Wikipedia,Soomaali Wikipedia,Somali,Latn,so,64,Unknown date,
Minangkabau Wikipedia,Wikipedia Minangkabau,Minangkabau,Latn,min,62,"<span data-sort-value=""000000002013-02-07-0000"" style=""white-space:nowrap"">7 February 2013",
Gujarati Wikipedia,"ગુજરાતી વિકિપીડિયા
(Gujrātī vikipīḍiyā)",Gujarati,Gujr,gu,61,"<span data-sort-value=""000000002004-07-01-0000"" style=""white-space:nowrap"">July 2004 (unknown day)",
Chechen Wikipedia,"Нохчийн Википеди
(Noxçiyn Wikipedi)",Chechen,Cyrl,ce,57,"<span data-sort-value=""000000002005-02-28-0000"" style=""white-space:nowrap"">28 February 2005",
Karakalpak Wikipedia,Qaraqalpaq Wikipediası,Karakalpak,Latn,kaa,56,Unknown date,
Western Punjabi Wikipedia,"پنجابی وکیپیڈیا
(Pañjābī vikīpīḍīā)",Western Punjabi,Arab,pnb,56,"<span data-sort-value=""000000002008-10-24-0000"" style=""white-space:nowrap"">24 October 2008",
Bavarian Wikipedia,Boarische Wikipedia,Bavarian,Latn,bar,55,"<span data-sort-value=""000000002006-05-02-0000"" style=""white-space:nowrap"">2 May 2006",
Aragonese Wikipedia,Biquipedia en aragonés,Aragonese,Latn,an,52,"<span data-sort-value=""000000002004-07-21-0000"" style=""white-space:nowrap"">21 July 2004",
Maltese Wikipedia,Wikipedija Malti,Maltese,Latn,mt,52,"<span data-sort-value=""000000002004-09-10-0000"" style=""white-space:nowrap"">10 September 2004",
Kinyarwanda Wikipedia,Wikipediya mu Ikinyarwanda,Kinyarwanda,Latn,rw,51,Unknown date,
Central Bikol Wikipedia,Wikipedyang Bikol Sentral,Central Bikol,Latn,bcl,50,"<span data-sort-value=""000000002007-11-24-0000"" style=""white-space:nowrap"">24 November 2007",
Ido Wikipedia,Wikipedio en Ido,Ido,Latn,io,50,"<span data-sort-value=""000000002004-01-01-0000"" style=""white-space:nowrap"">2004 (unknown date)",
Amharic Wikipedia,"አማርኛ ዊኪፔዲያ
(Amarəñña wikipediya)",Amharic,Ethi,am,49,"<span data-sort-value=""000000002002-12-01-0000"" style=""white-space:nowrap"">December 2002 (unknown day)",
Odia Wikipedia,"ଓଡ଼ିଆ ଉଇକିପିଡ଼ିଆ
(Oṛiā uikipiṛiā)",Odia,Orya,or,49,"<span data-sort-value=""000000002002-06-01-0000"" style=""white-space:nowrap"">June 2002 (unknown day)",
Fiji Hindi Wikipedia,Fiji Baat Wikipedia,Fiji Hindi,Latn,hif,48,Unknown date,
Classical Chinese Wikipedia,"文言維基大典
(Wéijī dàdiǎn wényán)",Classical Chinese,Hant,zh-classical,47,"<span data-sort-value=""000000002006-07-31-0000"" style=""white-space:nowrap"">31 July 2006",
Sundanese Wikipedia,Wikipédia basa Sunda,Sundanese,Latn,su,47,"<span data-sort-value=""000000002004-03-15-0000"" style=""white-space:nowrap"">15 March 2004",
Sotho Wikipedia,Wikipedia Sesotho,Sotho,Latn,st,45,Unknown date,
Old English Wikipedia,Engliscan Ƿikipǣdia,Old English,Latn,ang,44,Unknown date,
Pashto Wikipedia,"پښتو ويکيپېډيا
(Pax̌tó wīkīpeḍyā)",Pashto,Arab,ps,43,"<span data-sort-value=""000000002003-01-01-0000"" style=""white-space:nowrap"">2003 (unknown date)",
Yiddish Wikipedia,"יידישע וויקיפעדיע
(Yidishe vikipedye)",Yiddish,Hebr,yi,43,"<span data-sort-value=""000000002004-03-04-0000"" style=""white-space:nowrap"">4 March 2004",
Balinese Wikipedia,"Wikipédia Basa Bali
(ᬯᬶᬓᬶᬧᬾᬤᬶᬬ ᬩᬲᬩᬮᬶ)",Balinese,Latn,ban,41,"<span data-sort-value=""000000002019-10-14-0000"" style=""white-space:nowrap"">14 October 2019",
Faroese Wikipedia,Føroysk Wikipedia,Faroese,Latn,fo,41,"<span data-sort-value=""000000002004-05-30-0000"" style=""white-space:nowrap"">30 May 2004",
Ewe Wikipedia,Wikipiɖia Eʋegbe,Ewe,Latn,ee,40,Unknown date,
Lombard Wikipedia,Wikipedia in lombard,Lombard,Latn,lmo,40,"<span data-sort-value=""000000002005-10-01-0000"" style=""white-space:nowrap"">October 2005 (unknown day)",
Low German Wikipedia,Plattdüütsche Wikipedia,Low German,Latn,nds,40,"<span data-sort-value=""000000002006-04-01-0000"" style=""white-space:nowrap"">April 2006 (unknown day)",
